Year,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2001,Allen Iverson,25,PHI,93,1121,1240,0.904,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,.190
2001,Tim Duncan,24,SAS,18,706,1240,0.569,82,38.7,22.2,12.2,3.0,0.9,2.3,.499,.259,.618,13.2,.200
2001,Shaquille O'Neal,28,LAL,7,578,1240,0.466,74,39.5,28.7,12.7,3.7,0.6,2.8,.572,.000,.513,14.9,.245
2001,Chris Webber,27,SAC,5,521,1240,0.420,70,40.5,27.1,11.1,4.2,1.3,1.7,.481,.071,.703,11.0,.186
2001,Kevin Garnett,24,MIN,1,151,1240,0.122,81,39.5,22.0,11.4,5.0,1.4,1.8,.477,.288,.764,11.8,.176
2001,Tracy McGrady,21,ORL,0,64,1240,0.052,77,40.1,26.8,7.5,4.6,1.5,1.5,.457,.355,.733,12.2,.189
2001,Karl Malone,37,UTA,0,21,1240,0.017,81,35.7,23.2,8.3,4.5,1.1,0.8,.498,.400,.793,13.1,.217
2001,Jason Kidd,27,PHO,0,18,1240,0.015,77,39.8,16.9,6.4,9.8,2.2,0.3,.411,.297,.814,9.6,.150
2001,Kobe Bryant,22,LAL,0,11,1240,0.009,68,40.9,28.5,5.9,5.0,1.7,0.6,.464,.305,.853,11.3,.196
2001,David Robinson,35,SAS,0,8,1240,0.006,80,29.6,14.4,8.6,1.5,1.0,2.5,.486,.000,.747,12.1,.246
2001,Ray Allen,25,MIL,0,7,1240,0.006,82,38.2,22.0,5.2,4.6,1.5,0.2,.480,.433,.888,13.7,.211
2001,Vince Carter,24,TOR,0,7,1240,0.006,75,39.7,27.6,5.5,3.9,1.5,1.1,.460,.408,.765,12.9,.208
2001,Paul Pierce,23,BOS,0,5,1240,0.004,82,38.0,25.3,6.4,3.1,1.7,0.8,.454,.383,.745,10.4,.160
