Year,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2025,Shai Gilgeous-Alexander,26,OKC,PG,63,63,34.3,11.3,21.5,.525,2.2,5.8,.373,9.1,15.7,.581,.575,8.0,8.9,.900,0.9,4.2,5.1,6.2,1.8,1.1,2.5,2.3,32.7,
2025,Giannis Antetokounmpo,30,MIL,PF,52,52,33.9,12.2,20.2,.605,0.2,0.8,.186,12.1,19.4,.623,.609,6.0,10.2,.594,2.3,9.8,12.1,5.9,0.8,1.2,3.3,2.5,30.7,
2025,Nikola Jokić,29,DEN,C,59,59,36.4,11.1,19.2,.577,1.9,4.5,.430,9.1,14.7,.622,.627,4.8,5.9,.809,2.9,10.1,13.0,10.5,1.8,0.7,3.3,2.2,28.9,
2025,Anthony Edwards,23,MIN,SG,63,63,36.4,9.0,20.3,.441,4.1,10.0,.406,4.9,10.3,.476,.542,5.1,6.2,.835,0.8,5.2,6.0,4.6,1.1,0.6,3.3,1.8,27.2,
2025,Jayson Tatum,26,BOS,PF,60,60,36.5,9.2,20.3,.455,3.6,10.2,.355,5.6,10.1,.556,.544,5.1,6.3,.804,0.7,8.2,8.9,5.8,1.1,0.5,2.9,2.2,27.2,
2025,Luka Dončić,25,2TM,PG,34,34,35.1,9.1,20.6,.442,3.3,9.6,.343,5.8,10.9,.530,.522,5.4,7.1,.759,0.8,7.5,8.4,7.9,1.9,0.4,3.7,2.6,26.9,
2025,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,
2025,Luka Dončić,25,LAL,PG,12,12,34.1,7.8,19.4,.399,3.1,9.6,.322,4.7,9.8,.475,.479,5.9,7.9,.747,1.0,7.4,8.4,8.0,1.8,0.4,4.2,2.7,24.5,
2025,Kevin Durant,36,PHO,PF,52,52,37.1,9.8,18.5,.527,2.5,6.1,.409,7.3,12.4,.585,.595,4.9,5.9,.832,0.4,5.8,6.1,4.3,0.8,1.3,3.0,1.7,26.9,
2025,Jalen Brunson,28,NYK,PG,61,61,35.4,9.1,18.7,.490,2.3,6.0,.384,6.9,12.7,.541,.552,5.7,7.0,.825,0.4,2.6,3.0,7.4,1.0,0.1,2.5,2.2,26.3,
2025,Tyrese Maxey,24,PHI,PG,52,52,37.7,9.2,21.0,.437,3.1,9.2,.337,6.1,11.8,.515,.511,4.9,5.6,.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,
2025,Devin Booker,28,PHO,SG,59,59,37.5,8.6,18.8,.457,2.7,7.7,.345,5.9,11.1,.534,.527,6.1,6.8,.893,1.0,3.1,4.1,6.8,1.1,0.2,2.8,2.7,26.0,
2025,Anthony Davis,31,2TM,PF,43,43,34.2,9.5,18.0,.528,0.7,2.2,.313,8.8,15.8,.559,.548,6.0,7.6,.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9,25.7,
2025,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,
2025,Anthony Davis,31,DAL,PF,1,1,31.0,10.0,18.0,.556,2.0,2.0,1.000,8.0,16.0,.500,.611,4.0,6.0,.667,4.0,12.0,16.0,7.0,0.0,3.0,1.0,0.0,26.0,
2025,Cade Cunningham,23,DET,PG,61,61,35.2,9.5,20.5,.464,2.2,6.2,.359,7.3,14.4,.509,.518,4.4,5.1,.856,0.8,5.3,6.1,9.3,1.0,0.7,4.5,2.8,25.7,
2025,LaMelo Ball,23,CHO,PG,41,41,32.3,8.8,21.9,.403,3.8,11.6,.331,5.0,10.3,.483,.491,4.1,5.0,.828,1.0,4.3,5.3,7.0,1.2,0.3,3.5,3.4,25.6,
2025,Damian Lillard,34,MIL,PG,54,54,36.2,7.8,17.3,.451,3.4,9.1,.377,4.4,8.2,.533,.550,6.2,6.8,.921,0.5,4.1,4.7,7.1,1.2,0.2,2.9,1.7,25.3,
2025,LeBron James,40,LAL,SF,58,58,34.9,9.6,18.5,.517,2.3,5.9,.384,7.3,12.6,.580,.579,3.6,4.7,.770,1.0,7.2,8.2,8.5,0.9,0.6,3.9,1.5,25.0,
2025,Kyrie Irving,32,DAL,SG,50,50,36.1,8.9,18.9,.473,2.9,7.2,.401,6.1,11.7,.517,.549,3.9,4.3,.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,
2025,Stephen Curry,36,GSW,PG,56,56,32.2,8.1,18.0,.448,4.5,11.3,.398,3.6,6.8,.532,.573,3.9,4.2,.936,0.6,3.8,4.4,6.1,1.1,0.4,2.9,1.3,24.5,
2025,Franz Wagner,23,ORL,SF,46,46,33.6,9.0,19.5,.464,1.8,5.9,.303,7.3,13.6,.534,.510,4.6,5.4,.852,1.0,4.6,5.5,4.7,1.4,0.4,2.2,2.6,24.5,
2025,Zion Williamson,24,NOP,PF,27,27,28.6,9.6,17.0,.564,0.1,0.5,.231,9.5,16.5,.574,.568,5.1,7.8,.649,2.6,4.7,7.3,5.3,1.3,0.9,3.0,2.7,24.4,
2025,Paolo Banchero,22,ORL,PF,32,32,33.9,8.3,18.8,.440,1.8,5.7,.317,6.5,13.1,.494,.488,5.9,8.4,.703,1.1,5.8,6.9,4.8,0.8,0.7,3.0,2.2,24.3,
2025,Victor Wembanyama,21,SAS,C,46,46,33.2,8.9,18.6,.476,3.1,8.8,.352,5.8,9.9,.586,.559,3.4,4.1,.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,
2025,Donovan Mitchell,28,CLE,SG,60,60,31.3,8.4,18.6,.451,3.5,9.0,.384,4.9,9.5,.514,.544,4.0,4.9,.819,0.7,3.6,4.3,4.8,1.3,0.2,2.1,2.0,24.2,
2025,Karl-Anthony Towns,29,NYK,C,57,57,35.1,8.7,16.7,.523,2.1,4.9,.421,6.7,11.8,.565,.584,4.8,5.7,.834,3.0,10.2,13.3,3.1,1.0,0.7,2.6,3.5,24.2,
2025,Cam Thomas,23,BRK,SG,24,22,31.2,8.0,18.0,.443,2.7,7.8,.349,5.3,10.2,.514,.519,5.3,6.0,.883,0.5,2.7,3.2,3.5,0.6,0.0,2.5,1.8,24.0,
2025,Zach LaVine,29,2TM,SF,57,57,34.8,8.6,16.8,.512,3.2,7.3,.437,5.4,9.6,.569,.606,3.4,4.2,.823,0.3,4.4,4.6,4.3,0.9,0.2,2.8,1.4,23.8,
2025,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,.511,3.2,7.3,.446,5.4,9.6,.560,.607,3.5,4.3,.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,
2025,Zach LaVine,29,SAC,SG,15,15,36.8,8.5,16.6,.514,3.0,7.3,.413,5.5,9.3,.593,.604,3.3,3.7,.909,0.3,3.9,4.1,3.9,0.9,0.1,2.7,1.2,23.4,
2025,Joel Embiid,30,PHI,C,19,19,30.2,7.4,16.6,.444,1.2,4.1,.299,6.2,12.5,.492,.481,7.8,8.9,.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,
2025,Tyler Herro,25,MIA,SG,61,61,35.6,8.3,18.1,.458,3.5,9.5,.370,4.8,8.6,.556,.556,3.6,4.2,.857,0.4,5.0,5.4,5.7,0.8,0.2,2.6,1.3,23.8,
2025,Norman Powell,31,LAC,SG,46,46,33.0,8.3,16.7,.494,3.3,7.7,.424,5.0,9.0,.554,.592,4.0,4.8,.821,0.4,3.1,3.5,2.2,1.3,0.2,2.0,1.9,23.8,
2025,Trae Young,26,ATL,PG,60,60,36.2,7.4,18.2,.404,2.8,8.6,.325,4.6,9.6,.476,.481,6.3,7.3,.867,0.4,2.7,3.1,11.5,1.1,0.2,4.8,2.0,23.8,
