Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,seed
1981,Boston Celtics,62,20,.756,—,109.9,104.0,6.05,1
1981,Philadelphia 76ers,62,20,.756,—,111.7,103.8,7.76,2
1981,Milwaukee Bucks,60,22,.732,—,113.1,105.9,7.14,3
1981,Phoenix Suns,57,25,.695,—,110.0,104.5,4.83,4
1981,Los Angeles Lakers,54,28,.659,3.0,111.2,107.3,3.27,5
1981,San Antonio Spurs,52,30,.634,—,112.3,109.4,2.18,6
1981,New York Knicks,50,32,.610,12.0,107.9,106.3,2.00,7
1981,Chicago Bulls,45,37,.549,15.0,109.0,107.0,2.34,8
1981,Portland Trail Blazers,45,37,.549,12.0,110.7,109.8,0.52,9
1981,Indiana Pacers,44,38,.537,16.0,107.6,106.2,1.72,10
1981,Kansas City Kings,40,42,.488,12.0,106.9,106.9,-0.49,11
1981,Houston Rockets,40,42,.488,12.0,108.3,107.9,-0.20,12
1981,Golden State Warriors,39,43,.476,18.0,109.8,111.0,-1.41,13
1981,Washington Bullets,39,43,.476,23.0,105.6,105.6,0.42,14
1981,Denver Nuggets,37,45,.451,15.0,121.8,122.3,-0.95,15
1981,San Diego Clippers,36,46,.439,21.0,106.5,108.1,-1.78,16
1981,Seattle SuperSonics,34,48,.415,23.0,104.0,105.7,-1.84,17
1981,Atlanta Hawks,31,51,.378,29.0,104.9,108.0,-2.37,18
1981,Utah Jazz,28,54,.341,24.0,101.2,107.1,-5.99,19
1981,Cleveland Cavaliers,28,54,.341,32.0,105.7,110.6,-4.15,20
1981,New Jersey Nets,24,58,.293,38.0,106.9,113.0,-5.15,21
1981,Detroit Pistons,21,61,.256,39.0,99.7,106.0,-5.58,22
1981,Dallas Mavericks,15,67,.183,37.0,101.5,109.9,-8.33,23
1981,Atlantic Division,,,,,,,,24
1981,Central Division,,,,,,,,25
1981,Midwest Division,,,,,,,,26
1981,Pacific Division,,,,,,,,27
1982,Boston Celtics,63,19,.768,—,112.0,105.6,6.35,1
1982,Philadelphia 76ers,58,24,.707,5.0,111.2,105.5,5.74,2
1982,Los Angeles Lakers,57,25,.695,—,114.6,109.8,4.37,3
1982,Milwaukee Bucks,55,27,.671,—,108.4,102.9,5.38,4
1982,Seattle SuperSonics,52,30,.634,5.0,107.3,103.1,3.69,5
1982,San Antonio Spurs,48,34,.585,—,113.1,110.8,1.79,6
1982,Denver Nuggets,46,36,.561,2.0,126.5,126.0,0.13,7
1982,Houston Rockets,46,36,.561,2.0,105.9,105.9,-0.39,8
1982,Phoenix Suns,46,36,.561,11.0,106.2,102.7,3.05,9
1982,Golden State Warriors,45,37,.549,12.0,110.9,109.8,0.80,10
1982,New Jersey Nets,44,38,.537,19.0,106.7,106.0,0.87,11
1982,Washington Bullets,43,39,.524,20.0,103.5,102.6,1.06,12
1982,Atlanta Hawks,42,40,.512,13.0,101.0,100.5,0.81,13
1982,Portland Trail Blazers,42,40,.512,15.0,109.8,109.2,0.39,14
1982,Detroit Pistons,39,43,.476,16.0,111.1,112.0,-0.63,15
1982,Indiana Pacers,35,47,.427,20.0,102.2,104.0,-1.49,16
1982,Chicago Bulls,34,48,.415,21.0,106.6,108.6,-1.57,17
1982,New York Knicks,33,49,.402,30.0,106.2,108.9,-2.15,18
1982,Kansas City Kings,30,52,.366,18.0,107.1,110.2,-3.25,19
1982,Dallas Mavericks,28,54,.341,20.0,104.6,109.0,-4.48,20
1982,Utah Jazz,25,57,.305,23.0,110.9,116.6,-5.63,21
1982,San Diego Clippers,17,65,.207,40.0,108.5,115.9,-7.05,22
1982,Cleveland Cavaliers,15,67,.183,40.0,103.2,111.7,-7.77,23
1982,Atlantic Division,,,,,,,,24
1982,Central Division,,,,,,,,25
1982,Midwest Division,,,,,,,,26
1982,Pacific Division,,,,,,,,27
1983,Philadelphia 76ers,65,17,.793,—,112.1,104.4,7.53,1
1983,Los Angeles Lakers,58,24,.707,—,115.0,109.5,5.06,2
1983,Boston Celtics,56,26,.683,9.0,112.1,106.7,5.34,3
1983,Phoenix Suns,53,29,.646,5.0,107.0,102.0,4.61,4
1983,San Antonio Spurs,53,29,.646,—,114.3,110.7,3.10,5
1983,Milwaukee Bucks,51,31,.622,—,106.6,102.2,4.32,6
1983,New Jersey Nets,49,33,.598,16.0,105.8,103.0,2.77,7
1983,Seattle SuperSonics,48,34,.585,10.0,110.0,106.8,2.88,8
1983,Portland Trail Blazers,46,36,.561,12.0,107.4,105.3,1.88,9
1983,Denver Nuggets,45,37,.549,8.0,123.2,122.6,0.27,10
1983,Kansas City Kings,45,37,.549,8.0,113.8,112.3,1.04,11
1983,New York Knicks,44,38,.537,21.0,100.0,97.5,2.58,12
1983,Atlanta Hawks,43,39,.524,8.0,101.6,102.6,-0.72,13
1983,Washington Bullets,42,40,.512,23.0,99.2,99.3,0.20,14
1983,Dallas Mavericks,38,44,.463,15.0,112.7,113.1,-0.70,15
1983,Detroit Pistons,37,45,.451,14.0,112.7,113.1,-0.17,16
